order_no,sku,product_name,product_category,source,region_code,qty,gross_amount,cost_amount,sale_date
CS-00078,SKU-HOM-7273,台灯,home,retail_store,north,5,544.65,335.95,2025-02-18T09:00:00Z
CS-00079,SKU-ELE-3146,蓝牙音箱,electronics,retail_store,,2,146.1,112.67,2025-02-11T10:00:00Z
CS-00080,SKU-HOM-3910,地毯,home,e_commerce,south,1,119.78,95.23,2025-09-13T13:00:00Z
CS-00081,SKU-ELE-4887,机械键盘,electronics,retail_store,west,2,73.42,60.58,2025-10-27T11:00:00Z
CS-00082,SKU-APP-2108,针织毛衣,apparel,retail_store,south,2,192.68,156.12,2025-08-19T21:00:00Z
CS-00083,SKU-ELE-7487,蓝牙音箱,electronics,e_commerce,east,3,359.16,236.84,2025-09-18T09:00:00Z
CS-00084,SKU-HOM-9477,台灯,home,e_commerce,north,5,363.5,225.26,2025-12-01T17:00:00Z
CS-00085,SKU-APP-2969,卫衣,apparel,retail_store,east,6,595.56,499.08,2025-07-22T11:00:00Z
CS-00086,SKU-ELE-6886,USB 充电器,electronics,e_commerce,north,2,228.36,158.87,2025-10-21T13:00:00Z
CS-00087,SKU-ELE-3034,智能手表,electronics,e_commerce,north,1,24.85,18.58,2025-03-01T09:00:00Z
CS-00088,SKU-HOM-5940,挂钟,home,e_commerce,south,3,314.82,234.07,2025-11-30T13:00:00Z
CS-00089,SKU-APP-4724,牛仔裤,apparel,e_commerce,north,4,123.44,85.23,2025-05-26T12:00:00Z
CS-00090,SKU-HOM-8699,挂钟,home,retail_store,east,3,297.15,249.14,2025-03-25T17:00:00Z
CS-00091,SKU-HOM-1556,台灯,home,e_commerce,north,2,143.64,104.53,2025-01-18T21:00:00Z
CS-00092,SKU-ELE-3721,蓝牙音箱,electronics,e_commerce,north,4,450.6,364.08,2025-07-27T11:00:00Z
CS-00093,SKU-ELE-5834,USB 充电器,electronics,e_commerce,north,3,25.14,20.13,2025-04-26T08:00:00Z
CS-00094,SKU-APP-5704,牛仔裤,apparel,e_commerce,north,6,31.92,24.76,2025-08-12T16:00:00Z
CS-00095,SKU-APP-6094,卫衣,apparel,e_commerce,south,1,80.08,49.94,2025-12-21T16:00:00Z
CS-00096,SKU-HOM-5594,保温杯,home,catalog,north,1,111.93,,2025-09-11T14:00:00Z
CS-00097,SKU-ELE-3296,智能手表,electronics,e_commerce,south,2,222.7,166.6,2025-03-07T17:00:00Z
CS-00098,SKU-HOM-5500,地毯,home,e_commerce,west,1,53.15,38.13,2025-11-08T12:00:00Z
CS-00099,SKU-ELE-7400,机械键盘,electronics,e_commerce,north,4,239.32,160.66,2025-01-30T11:00:00Z
CS-00100,SKU-ELE-6961,蓝牙音箱,electronics,catalog,,5,139.5,86.5,2025-07-07T18:00:00Z
CS-00101,SKU-HOM-9995,地毯,home,catalog,east,1,71.4,54.26,2025-10-31T21:00:00Z
CS-00102,SKU-HOM-7384,地毯,home,e_commerce,south,3,291.93,234.01,2025-01-31T13:00:00Z
CS-00103,SKU-HOM-7444,挂钟,home,catalog,north,2,119.02,,2025-12-15T21:00:00Z
CS-00104,SKU-HOM-8039,地毯,home,e_commerce,east,2,74.74,46.32,2025-10-07T21:00:00Z
CS-00105,SKU-HOM-7906,台灯,home,e_commerce,east,6,107.64,90.93,2025-12-14T12:00:00Z
CS-00106,SKU-HOM-8349,保温杯,home,retail_store,north,1,38.81,25.11,2025-07-14T13:00:00Z
CS-00107,SKU-APP-8763,运动外套,apparel,retail_store,south,2,112.78,81.05,2025-08-10T14:00:00Z
CS-00108,SKU-APP-2789,纯棉T恤,apparel,retail_store,east,5,400.05,259.71,2025-06-14T15:00:00Z
CS-00109,SKU-ELE-4874,USB 充电器,electronics,retail_store,west,3,58.95,48.29,2025-11-16T13:00:00Z
CS-00110,SKU-APP-2157,卫衣,apparel,e_commerce,east,4,415.2,352.36,2025-03-03T21:00:00Z
CS-00111,SKU-APP-1646,卫衣,apparel,e_commerce,east,5,351.6,287.53,2025-09-04T08:00:00Z
CS-00112,SKU-ELE-2557,蓝牙音箱,electronics,e_commerce,east,3,86.34,57.55,2025-10-22T19:00:00Z
CS-00113,SKU-HOM-2126,保温杯,home,catalog,east,3,43.17,26.51,2025-04-23T17:00:00Z
CS-00114,SKU-APP-6107,针织毛衣,apparel,retail_store,south,5,164.7,128.15,2025-03-26T19:00:00Z
CS-00115,SKU-ELE-2622,机械键盘,electronics,retail_store,north,4,51.4,,2025-02-18T14:00:00Z
CS-00116,SKU-APP-7311,卫衣,apparel,e_commerce,north,3,154.41,97.53,2025-02-01T15:00:00Z
CS-00117,SKU-ELE-5971,无线耳机,electronics,e_commerce,west,2,63.16,40.38,2025-10-31T08:00:00Z
CS-00118,SKU-ELE-6069,机械键盘,electronics,retail_store,north,4,256.56,200.08,2025-11-08T11:00:00Z
CS-00119,SKU-HOM-3521,台灯,home,retail_store,east,3,196.8,131.55,2025-03-30T10:00:00Z
CS-00120,SKU-HOM-6962,保温杯,home,retail_store,north,3,303.27,222.64,2025-03-23T20:00:00Z
CS-00121,SKU-ELE-7345,USB 充电器,electronics,retail_store,east,5,124.7,93.6,2025-08-16T12:00:00Z
CS-00122,SKU-ELE-2831,蓝牙音箱,electronics,retail_store,north,3,95.04,,2025-03-15T10:00:00Z
CS-00123,SKU-ELE-5779,USB 充电器,electronics,e_commerce,north,2,134.8,113.15,2025-07-21T17:00:00Z
CS-00124,SKU-APP-5616,牛仔裤,apparel,retail_store,east,2,98.68,74.07,2025-12-20T21:00:00Z
CS-00125,SKU-APP-7842,牛仔裤,apparel,retail_store,south,1,113.87,75.46,2025-07-15T17:00:00Z
CS-00126,SKU-APP-9755,针织毛衣,apparel,retail_store,north,3,325.98,247.9,2025-08-03T19:00:00Z
CS-00127,SKU-APP-2693,纯棉T恤,apparel,e_commerce,north,2,158.0,102.92,2025-12-17T13:00:00Z
CS-00128,SKU-HOM-1671,挂钟,home,e_commerce,north,3,359.25,259.73,2025-06-24T17:00:00Z
CS-00129,SKU-HOM-3471,收纳盒,home,e_commerce,west,2,118.82,89.53,2025-03-10T11:00:00Z
CS-00130,SKU-APP-4109,针织毛衣,apparel,retail_store,west,3,275.58,197.85,2025-12-30T13:00:00Z
CS-00131,SKU-APP-5235,牛仔裤,apparel,e_commerce,west,6,452.7,359.68,2025-03-21T12:00:00Z
CS-00132,SKU-ELE-1217,智能手表,electronics,e_commerce,west,1,92.85,56.16,2025-08-22T16:00:00Z
CS-00133,SKU-APP-2968,卫衣,apparel,retail_store,south,1,70.65,55.26,2025-12-06T21:00:00Z
CS-00134,SKU-ELE-8359,蓝牙音箱,electronics,retail_store,south,1,41.7,30.01,2025-04-04T13:00:00Z
CS-00135,SKU-APP-8438,运动外套,apparel,e_commerce,south,1,14.08,10.57,2025-07-10T16:00:00Z
CS-00136,SKU-ELE-9323,机械键盘,electronics,catalog,east,1,17.37,,2025-07-01T09:00:00Z
CS-00137,SKU-ELE-2091,智能手表,electronics,e_commerce,east,2,47.28,33.92,2025-07-14T18:00:00Z
CS-00138,SKU-ELE-6726,智能手表,electronics,catalog,east,2,25.04,15.43,2025-01-15T11:00:00Z
CS-00139,SKU-ELE-9526,蓝牙音箱,electronics,e_commerce,west,3,163.68,122.28,2025-03-11T09:00:00Z
CS-00140,SKU-HOM-5582,挂钟,home,e_commerce,east,6,537.48,371.11,2025-06-28T09:00:00Z
CS-00141,SKU-ELE-4026,蓝牙音箱,electronics,e_commerce,south,1,95.41,80.92,2025-02-05T18:00:00Z
CS-00142,SKU-APP-3246,卫衣,apparel,retail_store,west,1,15.07,10.45,2025-11-25T10:00:00Z
CS-00143,SKU-ELE-9583,机械键盘,electronics,catalog,east,1,83.36,67.02,2025-03-01T20:00:00Z
CS-00144,SKU-APP-8005,针织毛衣,apparel,e_commerce,east,4,346.56,265.9,2025-04-12T14:00:00Z
CS-00145,SKU-ELE-5867,无线耳机,electronics,catalog,south,2,111.52,80.74,2025-04-27T11:00:00Z
CS-00146,SKU-ELE-1504,机械键盘,electronics,e_commerce,south,1,35.84,24.38,2025-05-12T09:00:00Z
CS-00147,SKU-ELE-2667,USB 充电器,electronics,e_commerce,,2,114.64,92.94,2025-08-07T13:00:00Z
CS-00148,SKU-APP-9132,牛仔裤,apparel,e_commerce,,4,352.16,,2025-03-23T17:00:00Z
CS-00149,SKU-APP-6871,牛仔裤,apparel,e_commerce,south,1,98.49,78.33,2025-02-23T17:00:00Z
CS-00150,SKU-ELE-3791,机械键盘,electronics,e_commerce,south,1,60.89,42.82,2025-12-08T12:00:00Z
CS-00151,SKU-HOM-9151,地毯,home,e_commerce,west,3,306.75,234.01,2025-09-12T17:00:00Z
CS-00152,SKU-ELE-4861,蓝牙音箱,electronics,retail_store,east,3,254.28,213.14,2025-06-22T20:00:00Z
CS-00153,SKU-ELE-9507,USB 充电器,electronics,e_commerce,north,3,158.76,106.87,2025-10-16T10:00:00Z
CS-00154,SKU-ELE-5280,USB 充电器,electronics,retail_store,west,1,35.3,24.06,2025-05-27T14:00:00Z
CS-00155,SKU-ELE-1846,USB 充电器,electronics,e_commerce,south,5,203.3,127.06,2025-10-11T13:00:00Z
CS-00156,SKU-HOM-1998,挂钟,home,e_commerce,north,2,170.78,130.13,2025-05-06T20:00:00Z
CS-00157,SKU-HOM-5377,收纳盒,home,catalog,,1,104.86,74.5,2025-11-02T13:00:00Z
CS-00158,SKU-ELE-3976,智能手表,electronics,e_commerce,north,1,76.14,56.26,2025-09-06T10:00:00Z
CS-00159,SKU-APP-7742,运动外套,apparel,e_commerce,south,2,237.32,189.86,2025-03-16T20:00:00Z
CS-00160,SKU-ELE-9804,USB 充电器,electronics,catalog,west,2,223.56,,2025-09-23T11:00:00Z
CS-00161,SKU-APP-7313,纯棉T恤,apparel,retail_store,west,3,341.85,284.13,2025-10-06T16:00:00Z
CS-00162,SKU-HOM-4813,收纳盒,home,e_commerce,north,3,335.76,231.45,2025-01-01T21:00:00Z
CS-00163,SKU-HOM-5639,地毯,home,e_commerce,north,4,50.36,36.83,2025-01-23T14:00:00Z
CS-00164,SKU-ELE-3112,机械键盘,electronics,retail_store,north,2,140.9,96.49,2025-04-19T20:00:00Z
CS-00165,SKU-ELE-5512,无线耳机,electronics,e_commerce,east,5,152.75,,2025-11-05T11:00:00Z
CS-00166,SKU-HOM-8692,地毯,home,e_commerce,east,6,170.58,131.75,2025-01-17T14:00:00Z
CS-00167,SKU-ELE-2886,蓝牙音箱,electronics,e_commerce,east,3,332.91,257.28,2025-04-28T17:00:00Z
CS-00168,SKU-APP-7714,纯棉T恤,apparel,e_commerce,south,3,231.75,178.5,2025-06-30T17:00:00Z
CS-00169,SKU-ELE-6512,无线耳机,electronics,retail_store,north,1,30.38,23.17,2025-01-24T11:00:00Z
CS-00170,SKU-ELE-7811,蓝牙音箱,electronics,e_commerce,south,1,30.0,20.27,2025-11-24T09:00:00Z
CS-00171,SKU-APP-6617,牛仔裤,apparel,retail_store,south,5,27.95,22.29,2025-03-15T11:00:00Z
CS-00172,SKU-ELE-7726,机械键盘,electronics,e_commerce,,2,93.8,66.91,2025-02-12T11:00:00Z
CS-00173,SKU-APP-6164,卫衣,apparel,catalog,north,2,197.48,128.13,2025-10-04T17:00:00Z
CS-00174,SKU-ELE-5809,蓝牙音箱,electronics,catalog,north,1,86.5,56.96,2025-03-04T21:00:00Z
CS-00175,SKU-ELE-3122,智能手表,electronics,catalog,east,2,115.94,73.47,2025-12-16T14:00:00Z
CS-00176,SKU-APP-3944,牛仔裤,apparel,retail_store,west,1,67.9,50.91,2025-04-22T14:00:00Z
CS-00177,SKU-HOM-6472,挂钟,home,e_commerce,north,3,307.92,196.8,2025-12-11T20:00:00Z
CS-00178,SKU-HOM-5879,地毯,home,catalog,north,2,96.66,70.84,2025-03-23T15:00:00Z
CS-00179,SKU-APP-5962,纯棉T恤,apparel,e_commerce,south,3,276.51,225.98,2025-04-24T11:00:00Z
CS-00180,SKU-ELE-7516,USB 充电器,electronics,e_commerce,west,1,99.59,80.41,2025-05-21T12:00:00Z
CS-00181,SKU-HOM-6976,台灯,home,e_commerce,west,4,38.8,28.83,2025-02-18T12:00:00Z
CS-00182,SKU-APP-9391,运动外套,apparel,catalog,,6,705.06,453.42,2025-01-20T16:00:00Z
CS-00183,SKU-ELE-5438,机械键盘,electronics,e_commerce,east,2,151.76,106.28,2025-04-03T10:00:00Z
CS-00184,SKU-HOM-1583,地毯,home,retail_store,south,5,236.95,152.63,2025-08-18T14:00:00Z
CS-00185,SKU-ELE-9702,智能手表,electronics,retail_store,south,6,190.56,158.78,2025-11-22T15:00:00Z
CS-00186,SKU-HOM-9666,挂钟,home,catalog,east,1,64.49,50.68,2025-08-15T21:00:00Z
CS-00187,SKU-ELE-8396,蓝牙音箱,electronics,e_commerce,north,2,182.46,,2025-04-08T13:00:00Z
CS-00188,SKU-ELE-2882,USB 充电器,electronics,e_commerce,south,4,147.4,88.62,2025-04-04T14:00:00Z
CS-00189,SKU-ELE-6245,智能手表,electronics,e_commerce,west,2,127.08,96.92,2025-03-22T14:00:00Z
CS-00190,SKU-ELE-3357,无线耳机,electronics,retail_store,south,2,14.58,12.26,2025-11-24T10:00:00Z
CS-00191,SKU-APP-1048,针织毛衣,apparel,retail_store,east,3,45.51,34.08,2025-01-27T21:00:00Z
CS-00192,SKU-APP-5895,卫衣,apparel,retail_store,south,3,21.27,13.47,2025-01-11T16:00:00Z
CS-00193,SKU-ELE-2691,无线耳机,electronics,e_commerce,south,1,101.04,,2025-11-29T19:00:00Z
CS-00194,SKU-ELE-1332,智能手表,electronics,retail_store,east,1,106.26,89.42,2025-10-14T18:00:00Z
CS-00195,SKU-ELE-8702,无线耳机,electronics,e_commerce,north,1,47.26,33.98,2025-08-01T19:00:00Z
CS-00196,SKU-ELE-8414,智能手表,electronics,retail_store,east,2,128.5,,2025-07-15T16:00:00Z
CS-00197,SKU-APP-1964,运动外套,apparel,e_commerce,south,3,347.01,267.64,2025-05-03T17:00:00Z
CS-00198,SKU-APP-1199,卫衣,apparel,e_commerce,north,1,84.93,57.91,2025-02-08T16:00:00Z
CS-00199,SKU-APP-7571,运动外套,apparel,retail_store,north,1,100.15,65.89,2025-12-03T19:00:00Z
CS-00200,SKU-APP-2077,针织毛衣,apparel,catalog,east,2,87.12,68.92,2025-12-02T12:00:00Z
CS-00201,SKU-HOM-2033,台灯,home,retail_store,east,1,12.83,8.08,2025-10-04T15:00:00Z
CS-00202,SKU-ELE-7243,蓝牙音箱,electronics,e_commerce,north,1,93.15,75.09,2025-11-14T10:00:00Z
CS-00203,SKU-HOM-7087,保温杯,home,retail_store,east,3,303.36,,2025-06-04T08:00:00Z
CS-00204,SKU-APP-8010,卫衣,apparel,e_commerce,west,1,103.16,64.3,2025-08-25T17:00:00Z
CS-00205,SKU-APP-6952,卫衣,apparel,e_commerce,east,2,24.76,19.61,2025-05-16T08:00:00Z
CS-00206,SKU-ELE-4435,无线耳机,electronics,e_commerce,north,1,53.43,45.25,2025-07-16T17:00:00Z
CS-00207,SKU-APP-2231,针织毛衣,apparel,e_commerce,south,3,274.41,169.19,2025-03-09T18:00:00Z
CS-00208,SKU-APP-7985,牛仔裤,apparel,e_commerce,east,4,179.48,121.77,2025-04-09T17:00:00Z
CS-00209,SKU-HOM-2325,收纳盒,home,retail_store,north,5,101.05,85.62,2025-09-18T19:00:00Z
CS-00210,SKU-HOM-2932,地毯,home,retail_store,south,1,31.85,23.4,2025-11-10T12:00:00Z
CS-00211,SKU-ELE-2629,蓝牙音箱,electronics,retail_store,north,1,13.03,11.07,2025-03-30T15:00:00Z
CS-00212,SKU-APP-5733,运动外套,apparel,e_commerce,north,1,57.7,35.06,2025-07-01T14:00:00Z
CS-00213,SKU-HOM-2589,收纳盒,home,retail_store,west,1,48.89,30.86,2025-12-26T20:00:00Z
CS-00214,SKU-ELE-8749,无线耳机,electronics,retail_store,north,2,208.06,160.33,2025-03-25T09:00:00Z
CS-00215,SKU-APP-7413,牛仔裤,apparel,e_commerce,east,3,241.38,182.85,2025-04-24T08:00:00Z
CS-00216,SKU-APP-9179,针织毛衣,apparel,retail_store,east,5,90.3,59.64,2025-01-19T12:00:00Z
CS-00217,SKU-HOM-9361,地毯,home,catalog,south,4,477.0,306.93,2025-07-09T10:00:00Z
CS-00218,SKU-HOM-5631,地毯,home,retail_store,south,3,80.55,52.66,2025-01-13T13:00:00Z
CS-00219,SKU-APP-2207,卫衣,apparel,e_commerce,east,4,342.32,275.23,2025-04-29T15:00:00Z
CS-00220,SKU-HOM-5695,地毯,home,retail_store,east,5,311.75,190.05,2025-02-10T12:00:00Z
CS-00221,SKU-ELE-6986,机械键盘,electronics,e_commerce,east,3,127.62,91.73,2025-06-17T21:00:00Z
CS-00222,SKU-APP-8710,卫衣,apparel,retail_store,east,3,96.87,80.17,2025-06-27T16:00:00Z
CS-00223,SKU-APP-6630,针织毛衣,apparel,retail_store,west,2,159.32,124.21,2025-12-26T15:00:00Z
CS-00224,SKU-ELE-4940,USB 充电器,electronics,e_commerce,north,3,132.81,100.39,2025-06-22T14:00:00Z
CS-00225,SKU-ELE-9614,蓝牙音箱,electronics,retail_store,north,5,42.2,31.62,2025-05-02T11:00:00Z
CS-00226,SKU-ELE-2684,USB 充电器,electronics,retail_store,north,3,349.77,284.75,2025-02-12T17:00:00Z
CS-00227,SKU-ELE-8357,USB 充电器,electronics,retail_store,north,2,131.72,84.75,2025-12-06T20:00:00Z
CS-00228,SKU-ELE-9167,机械键盘,electronics,retail_store,east,3,20.64,13.38,2025-03-08T16:00:00Z
CS-00229,SKU-APP-2952,运动外套,apparel,catalog,south,2,154.8,103.24,2025-03-08T15:00:00Z
CS-00230,SKU-APP-6703,纯棉T恤,apparel,e_commerce,south,2,118.28,76.21,2025-04-06T14:00:00Z
CS-00231,SKU-ELE-1731,无线耳机,electronics,e_commerce,south,2,64.82,41.49,2025-07-29T08:00:00Z
CS-00232,SKU-ELE-4699,智能手表,electronics,retail_store,west,2,180.12,125.05,2025-01-28T13:00:00Z
CS-00233,SKU-HOM-8556,收纳盒,home,retail_store,east,5,280.4,194.24,2025-05-03T13:00:00Z
CS-00234,SKU-APP-3344,针织毛衣,apparel,retail_store,south,1,79.08,57.22,2025-12-29T12:00:00Z
CS-00235,SKU-APP-2669,牛仔裤,apparel,retail_store,west,5,84.45,,2025-12-26T13:00:00Z
CS-00236,SKU-APP-1010,卫衣,apparel,retail_store,west,4,472.24,337.01,2025-01-29T21:00:00Z
CS-00237,SKU-ELE-6660,智能手表,electronics,retail_store,east,2,83.22,57.13,2025-11-19T10:00:00Z
CS-00238,SKU-HOM-3937,地毯,home,e_commerce,,1,52.99,38.72,2025-10-31T19:00:00Z
CS-00239,SKU-ELE-6373,USB 充电器,electronics,retail_store,north,1,45.08,34.7,2025-09-24T20:00:00Z
